Identifier,F518_21h,F518_29h,F518_33h,F518_37h,F518_41h,F518_45h,F518_49h,F518_53h,F518_57h
SCO7122,2.780545378,3.442146558,4.929819112,4.575810183,4.942695759,4.754969471,4.498637919,4.571390548,4.795509014
SCO7123,4.663067442,4.700779954,6.021172571,5.40185147,6.063133439,5.585011197,5.595914101,5.803547189,5.423055242
SCO7124,5.994710028,5.955973116,8.371857211,7.591503733,8.389782758,7.721863398,7.640676911,7.691981023,7.229893545
SCO7125,4.809511506,3.854172041,5.080843516,5.123897731,5.334363286,5.076951009,5.2567394,5.251548802,4.783109724
SCO7126,6.314133735,6.033502289,5.456312242,5.019476628,5.324179049,5.356447374,5.282364059,5.101278998,5.438571266
SCO7127,6.943702831,7.052913837,5.971889364,6.327053557,5.767470618,6.329249302,6.082697979,6.01232925,6.666458737
SCO7128,5.155080511,5.353817647,7.268278067,6.74036604,7.641329496,6.999044998,6.899182126,6.840804767,6.404921197
SCO7129,3.354710834,4.864289881,4.76061165,4.020693115,4.478554867,4.093712144,4.559925735,4.390504114,4.55248539
SCO7130,5.828911875,5.512457548,5.821243183,5.819781753,5.604474866,5.921720794,5.708205024,5.674970616,5.759744374
SCO7131,5.674675444,5.749861928,6.539092367,6.264553249,6.47507424,6.408316479,6.256733194,6.521723401,6.600202546
SCO7132,4.893301792,4.566066277,5.622800766,5.333887699,5.876599775,5.732746136,5.732860974,5.909153493,6.100707316
SCO7133,0.24161021,3.049236546,3.615245003,3.559176452,3.864039338,1.873420949,3.234272499,3.61183009,2.979431229
SCO7134,9.933389981,10.10726853,10.48987058,9.966203493,10.13937521,9.862209298,9.987740553,9.909228305,9.724730182
SCO7135,4.722825835,4.280959983,4.763340175,4.27713131,4.395824914,4.68079213,4.8753881,4.517191309,4.553609335
SCO7136,6.167495737,6.298859365,6.530473009,6.661707486,6.352130007,6.090323729,6.118460951,6.362529806,6.156093743
SCO7137,12.18737863,12.04462862,12.02621428,11.89663029,12.21631278,12.04027056,12.09162533,11.94702207,11.93842406
SCO7138,2.595085405,3.914679688,3.409276461,4.021078774,3.920250564,3.779822045,3.712914892,3.467063144,4.441573557
SCO7139,7.056000877,6.682673204,7.417719115,6.896169967,7.299647013,6.948657928,7.031743005,6.911430052,6.904227899
SCO7140,6.11146424,7.321532591,6.340063921,6.505284102,6.487278869,6.547891131,6.683625023,6.766980154,7.225127032
SCO7141,6.499212265,8.031691279,6.093499864,5.688178024,5.794270702,5.934653019,5.676153286,6.190541229,6.465321439
SCO7142,7.745895209,8.058181592,6.764751816,7.06568666,6.633345864,7.117889174,7.277677663,7.023365336,7.74946691
SCO7143,9.525119865,9.608816407,9.778580545,9.363558699,9.67720712,9.478185469,9.562785898,9.570886748,9.444306547
SCO7144,6.028146274,6.251894004,6.040851917,6.226230505,6.222243236,5.88190428,5.720061754,5.991694728,5.850431854
SCO7145,4.556515873,4.741782551,4.785079162,4.905798484,4.452242479,4.700606299,4.418526425,4.392071101,4.463501524
SCO7146,8.163197104,9.046151623,7.116184598,6.820982175,6.427222696,7.020454911,7.296844087,7.113920648,7.868807282
SCO7147,6.555124289,8.557081838,6.522600655,6.066769902,6.293568057,6.37563029,6.41948125,6.678943473,7.310321671
SCO7148,5.943327386,7.898364143,5.234465926,4.726838583,4.736925572,5.15751084,5.021014336,5.599329975,5.834588597
SCO7149,5.014726599,6.83027475,5.232248638,4.560996839,5.003511609,4.017317065,4.93712816,4.667262019,5.16779908
SCO7150,6.102759721,5.850951332,6.48447455,6.367687323,6.643871873,6.445577195,6.582489143,6.63719499,6.509192535
SCO7151,3.96735776,3.830233817,5.757258366,5.292670492,5.745302103,5.522082313,5.477603289,5.310971004,5.379611259
SCO7152,5.38210898,5.227668285,5.975790629,5.520814076,5.898375881,5.590420913,5.60069942,5.528987061,5.510583269
SCO7153,6.131810097,4.208589223,3.896488241,3.765816969,3.783989352,4.29407867,3.898874239,4.205253109,4.264679065
SCO7154,7.678197136,7.246022012,6.34053452,5.744867214,5.714059921,6.369139337,6.301086135,6.318568804,6.734307021
SCO7155,4.701842614,4.633364786,6.321568961,5.594806819,6.129298357,5.677762345,5.799050151,5.899854823,5.808727618
SCO7156,5.270894423,5.315266905,5.071612077,5.012353143,5.187980675,5.033998352,5.084479191,5.204369824,4.762804405
SCO7157,4.530865568,4.330481899,5.309376145,4.632330951,4.764949536,4.727155506,4.884426828,5.173017331,4.643132934
SCO7158,6.791929934,6.496590469,8.239175499,7.442859879,8.396343611,7.547566106,7.581731818,7.609237433,7.165162797
SCO7159,7.63909127,7.495180559,8.329997051,7.954039682,8.46998263,8.016875806,7.964970318,8.145972068,7.847785454
SCO7160,4.603800513,4.928116526,4.526589544,4.581924118,5.104459516,4.56353033,4.919047217,4.565994451,4.366800489
SCO7161,3.78329532,3.453497833,5.172042978,5.437057755,5.909411697,5.176623187,5.324905209,5.47556191,4.470611501
SCO7162,4.888743721,4.820047,5.733402773,5.992886702,6.402071181,5.918106028,6.161941925,6.082957173,5.637255841
SCO7163,4.530865568,4.472408883,5.712188057,5.51306592,6.018732679,5.671387085,5.531968323,5.825884856,5.649870757
SCO7164,4.980692388,5.623277605,7.638531285,6.870051468,7.814463443,7.188507444,7.206863644,7.269727191,6.623825899
SCO7165,4.515013086,4.138102996,5.007216839,4.798929702,5.373674694,4.984707999,5.076172742,5.117520543,5.019206066
SCO7166,5.003008401,4.683302859,6.209374093,5.141892777,5.991845989,5.515409848,5.501868527,5.585078744,5.62867048
SCO7167,5.936164758,5.752887614,6.602156595,5.973983435,6.45525633,6.108563492,6.211086323,6.149851747,6.159115205
SCO7168,10.02156769,9.881433569,9.867365639,9.60057901,9.429436127,9.75684676,9.764492587,9.508746167,9.573393559
